location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
LC3-F1-R131,LC3,1,room,LC3-131,LC3-131|LC3_131|131,ห้องเก็บของ,storage,lc3-floor-1,1103,377,อาคาร LC3 ชั้น 1 ห้อง 131 — ห้องเก็บของ,near_toilet:LC3-F1-PRMTOILET:2|near_stairs:LC3-F1-PSTAIR-3:6,LC3_131,1063,337,
LC3-F1-R132,LC3,1,room,LC3-132,LC3-132|LC3_132|132,ห้องควบคุมไฟฟ้า,utility,lc3-floor-1,1138,404,อาคาร LC3 ชั้น 1 ห้อง 132 — ห้องควบคุมไฟฟ้า,near_toilet:LC3-F1-PRMTOILET:7|near_stairs:LC3-F1-PSTAIR-3:7,LC3_132,1098,364,
LC3-F1-R135,LC3,1,room,LC3-135,LC3-135|LC3_135|135,,unknown,lc3-floor-1,1129,213,อาคาร LC3 ชั้น 1 ห้อง 135,near_toilet:LC3-F1-PRFTOILET:3|near_stairs:LC3-F1-PSTAIR-3:4,LC3_135,1089,173,needs_field_validation
LC3-F1-R136,LC3,1,room,LC3-136,LC3-136|LC3_136|136,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,1060,94,อาคาร LC3 ชั้น 1 ห้อง 136 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:4|near_stairs:LC3-F1-PSTAIR-3:5,LC3_136,1020,54,
LC3-F1-R137-1,LC3,1,room,LC3-137/1,LC3-137/1|LC3_137/1|137/1,ห้องวิจัยฟิสิกส์,research_room,lc3-floor-1,1016,103,อาคาร LC3 ชั้น 1 ห้อง 137/1 — ห้องวิจัยฟิสิกส์,near_toilet:LC3-F1-PRFTOILET:5|near_stairs:LC3-F1-PSTAIR-3:6,LC3_137/1,976,63,
LC3-F1-R137-2,LC3,1,room,LC3-137/2,LC3-137/2|LC3_137/2|137/2,ห้องวิจัยฟิสิกส์,research_room,lc3-floor-1,954,103,อาคาร LC3 ชั้น 1 ห้อง 137/2 — ห้องวิจัยฟิสิกส์,near_toilet:LC3-F1-PRFTOILET:6|near_stairs:LC3-F1-PSTAIR-3:5,LC3_137/2,914,63,
LC3-F1-R137-3,LC3,1,room,LC3-137/3,LC3-137/3|LC3_137/3|137/3,ห้องวิจัยฟิสิกส์,research_room,lc3-floor-1,886,103,อาคาร LC3 ชั้น 1 ห้อง 137/3 — ห้องวิจัยฟิสิกส์,near_toilet:LC3-F1-PRFTOILET:7|near_stairs:LC3-F1-PSTAIR-3:6,LC3_137/3,846,63,
LC3-F1-R138,LC3,1,room,LC3-138,LC3-138|LC3_138|138,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,833,102,อาคาร LC3 ชั้น 1 ห้อง 138 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:8|near_stairs:LC3-F1-PSTAIR-3:7,LC3_138,793,62,
LC3-F1-R139,LC3,1,room,LC3-139,LC3-139|LC3_139|139,ห้องวิจัยฟิสิกส์,research_room,lc3-floor-1,802,87,อาคาร LC3 ชั้น 1 ห้อง 139 — ห้องวิจัยฟิสิกส์,near_toilet:LC3-F1-PRFTOILET:10|near_stairs:LC3-F1-PSTAIR-3:9,LC3_139,762,47,
LC3-F1-R140,LC3,1,room,LC3-140,LC3-140|LC3_140|140,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,lc3-floor-1,780,134,อาคาร LC3 ชั้น 1 ห้อง 140 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:LC3-F1-PRFTOILET:10|near_stairs:LC3-F1-PSTAIR-3:9,LC3_140,740,94,
LC3-F1-R141,LC3,1,room,LC3-141,LC3-141|LC3_141|141,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,lc3-floor-1,721,209,อาคาร LC3 ชั้น 1 ห้อง 141 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:LC3-F1-PRFTOILET:9|near_stairs:LC3-F1-PSTAIR-3:8,LC3_141,681,169,
LC3-F2-PSTAIR-1,LC3,2,poi,,,บันได 1,stairs,lc3-floor-2,89,303,อาคาร LC3 ชั้น 2 บันได 1,,LC3_F2_stair-1,91,340,
LC3-F2-PSTAIR-2,LC3,2,poi,,,บันได 2,stairs,lc3-floor-2,529,228,อาคาร LC3 ชั้น 2 บันได 2,,LC3_F2_stair-2,531,265,
LC3-F2-PSTAIR-3,LC3,2,poi,,,บันได 3,stairs,lc3-floor-2,984,316,อาคาร LC3 ชั้น 2 บันได 3,,LC3_F2_stair-3,986,353,
LC3-F2-PLFTL,LC3,2,poi,,,ห้องน้ำหญิง (ฝั่งซ้าย),toilet,lc3-floor-2,31,337,อาคาร LC3 ชั้น 2 ห้องน้ำหญิง (ฝั่งซ้าย),,LC3_LFTL,33,374,
LC3-F2-PLMTL,LC3,2,poi,,,ห้องน้ำชาย (ฝั่งซ้าย),toilet,lc3-floor-2,31,281,อาคาร LC3 ชั้น 2 ห้องน้ำชาย (ฝั่งซ้าย),,LC3_LMTL,33,318,
