event_code,event_name,room_code,day_of_week,start_time,end_time,event_type
CNC101,"CNC 101",LC3-122,"Wednesday",11:00,12:30,Class
AM201,"AM 201 (อ.ส้ม)",LC3-122,"Wednesday",13:30,15:00,Class
CNC222,"CNC 222 (อ.หยวน)",LC3-122,"Wednesday",15:00,16:30,Class
CS100,"CS 100",LC3-122,"Thursday",08:00,09:30,Class
CS101,"CS 101 (อ.นัทนนท์)",LC3-122,"Thursday",09:30,11:00,Class
CS102,"CS 102",LC3-122,"Thursday",11:00,12:30,Class
CS101,"CS 101",LC3-122,"Thursday",13:30,15:00,Class
CS213,"CS 213 (อ.หยวน)",LC3-122,"Thursday",15:00,16:30,Class
CS103,"CS 103",LC3-122,"Friday",08:00,09:30,Class
CS103,"CS 103 (อ.นันทนนท์)",LC3-122,"Friday",09:30,11:00,Class
CNC101,"CNC 101",LC3-122,"Friday",11:00,12:30,Class
AM201,"AM 201 (อ.ส้ม)",LC3-122,"Friday",13:30,15:00,Class
CNC222,"CNC 222 (อ.หยวน)",LC3-122,"Friday",15:00,16:30,Class
ST349,"ST 349",LC3-122,"Saturday",09:30,12:30,Class
,"Thesis Research (ทำการวิจัย สำหรับวิทยานิพนธ์) - นอกเวลาราชการ",LC3-203,"10 มิ.ย. 2567 - 30 พ.ย. 2567 (ทุกวัน)",06:00,24:00,Lab Booking
,"Thesis Research (ทำการวิจัย สำหรับวิทยานิพนธ์) - ในเวลาราชการ (เตาอบ, เครื่องชั่ง, Magnetic stirrer)",LC3-203,"10 มิ.ย. 2567 - 30 พ.ย. 2567 (วันเวลาราชการ)",08:30,16:30,Lab Booking
